Product Id,Price,MRP,Gender,Product Name,Status,Weight,thumbnail,Color,Material,Type,Sole Material,,,
31956635,520,1060,Women,LADELA Black Casual Shoes,Inactive,300,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOLADELA-BLACKNIHA106946671BCBC3/4.jpg,Black,Jute,Casual,,,,
31956636,520,1060,Women,LADELA Black Casual Shoes,Inactive,1200,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOLADELA-BLACKNIHA1069463B2AA8BA/2.jpg,Black,Jute,Casual,,,,
31956637,520,1060,Women,LADELA Black Casual Shoes,Inactive,300,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOLADELA-BLACKNIHA106946F3A766D/2.jpg,Black,Jute,Casual,,,,
31956638,520,1060,Women,LADELA Black Casual Shoes,Inactive,1200,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOLADELA-BLACKNIHA106946F8BF9EB1/2.jpg,Black,Jute,Casual,,,,
31966895,1720,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356ACFFD376/10.jpg,Blue,Synthetic Leather,,Resin Sheet,,,
31966896,1289,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203564AF60D21/10.jpg,Blue,Synthetic Leather,Sandals,Resin Sheet,,,
31966897,1289,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C8D2F7FB/10.jpg,Blue,Synthetic Leather,Sandals,Resin Sheet,,,
31966898,1289,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203562EDB29AC/10.jpg,Blue,Synthetic Leather,Sandals,Resin Sheet,,,
31966899,1289,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203563156763B/10.jpg,Blue,Synthetic Leather,Sandals,Resin Sheet,,,
31966900,1720,4299,Women,Adriana & Gabriella Blue Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356D75FA86C/10.jpg,Blue,Synthetic Leather,,Resin Sheet,,,
31966901,1319,4399,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035681FE1E14/10.jpg,Blue,Synthetic Leather,Wedges,Resin Sheet,,,
